"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","21-Aug-2018","       1384.25","       1390.00","       1396.00","       1373.75","       1386.00","       1383.95","       1381.18","    4180741","          5774338649.90","     126003","    2280633","         54.55"
"INFY","EQ","23-Aug-2018","       1383.95","       1393.00","       1401.50","       1385.35","       1400.00","       1397.40","       1392.99","    3858591","          5374993200.90","     180710","    2737234","         70.94"
"INFY","EQ","24-Aug-2018","       1397.40","       1396.50","       1401.90","       1376.10","       1379.35","       1378.30","       1386.47","    3526500","          4889394601.00","     109805","    2049349","         58.11"
"INFY","EQ","27-Aug-2018","       1378.30","       1383.00","       1419.95","       1381.40","       1416.00","       1415.40","       1406.00","    3506475","          4930091750.60","     132478","    2245599","         64.04"
"INFY","EQ","28-Aug-2018","       1415.40","       1417.20","       1438.40","       1411.50","       1425.00","       1424.70","       1427.92","    3248445","          4638524929.10","     100357","    1773021","         54.58"
"INFY","EQ","29-Aug-2018","       1424.70","       1433.60","       1433.60","       1405.15","       1411.00","       1410.10","       1412.92","    2823248","          3989010655.35","      89895","    1719084","         60.89"
"INFY","EQ","30-Aug-2018","       1410.10","       1412.80","       1421.55","       1396.15","       1418.10","       1416.20","       1411.92","    5753981","          8124160894.05","      96074","    4034348","         70.11"
"INFY","EQ","31-Aug-2018","       1416.20","       1425.10","       1454.30","       1421.10","       1440.00","       1441.10","       1439.05","    5437932","          7825437137.85","     124025","    3589092","         66.00"
"INFY","EQ","03-Sep-2018","       1441.10","       1449.00","       1467.90","       1430.00","       1436.20","       1434.25","       1451.30","    5488164","          7964966272.70","     134643","    3571594","         65.08"
"INFY","EQ","04-Sep-2018","       1434.25","        722.00","        748.50","        716.00","        733.00","        737.15","        739.04","   15370124","         11359156598.75","     258728","    6954062","         45.24"
"INFY","EQ","05-Sep-2018","        737.15","        741.95","        744.05","        725.40","        729.00","        729.90","        734.79","    8658978","          6362539535.15","     202826","    3839883","         44.35"
"INFY","EQ","06-Sep-2018","        729.90","        732.55","        735.50","        724.10","        726.00","        727.15","        730.17","    5598659","          4087988682.40","     134849","    3493840","         62.40"
